date,time,water_level,water_temp,wind_speed,wind_dir,wind_gust,air_temp
18-07-20,23:00,0.27,30.6,7.19,141,8.97,-
19-07-20,00:00,0.245,30.6,6.63,146,8.41,-
19-07-20,01:00,0.209,30.4,6.04,155,7.73,-
19-07-20,02:00,0.175,30.3,5.44,179,6.21,-
19-07-20,03:00,0.144,30.1,4.88,151,6.67,-
19-07-20,04:00,0.116,29.9,5.41,172,6.38,-
19-07-20,05:00,0.085,29.8,4.61,178,5.9,-
19-07-20,06:00,0.053,29.7,5.15,171,5.95,-
19-07-20,07:00,0.035,29.6,3.8,172,4.53,-
19-07-20,08:00,0.02,29.5,2.69,162,3.39,-
19-07-20,09:00,0.032,29.4,1,245,3.63,-
19-07-20,10:00,0.049,29.3,2.32,274,2.88,-
19-07-20,11:00,0.079,29.2,1.13,358,1.32,-
19-07-20,12:00,0.112,29.1,1.54,353,1.95,-
19-07-20,13:00,0.147,29.1,3.31,21,3.38,-
19-07-20,14:00,0.169,29,2.51,64,2.97,-
19-07-20,15:00,0.195,29,2.43,63,2.9,-
19-07-20,16:00,0.23,29.2,3.03,78,3.6,-
19-07-20,17:00,0.251,29.6,3.65,98,4.62,-
19-07-20,18:00,0.275,30,4.56,109,5.81,-
19-07-20,19:00,0.296,30.4,5.63,115,6.54,-
19-07-20,20:00,0.318,30.9,5.79,116,7.19,-
19-07-20,21:00,0.33,31.3,7.77,120,8.27,-
19-07-20,22:00,0.337,31.9,7.49,120,8.28,-
19-07-20,23:00,0.327,32,7.43,128,8.69,-
20-07-20,00:00,0.304,31.8,7.68,126,8.96,-
20-07-20,01:00,0.276,31.6,6.84,122,9.12,-
20-07-20,02:00,0.246,31.3,6.71,137,8.52,-
20-07-20,03:00,0.21,31.1,6.8,129,7.68,-
20-07-20,04:00,0.173,30.9,6.2,137,8.16,-
20-07-20,05:00,0.138,30.7,5.45,162,6.53,-
